isco_code,anzsco_code,anzsco_title
3313,552314,Statistical Clerk
3314,552314,Statistical Clerk
3315,224512,Valuer
3315,599611,Insurance Investigator
3315,599612,Insurance Loss Adjuster
3315,599613,Insurance Risk Surveyor
3321,222113,Insurance Broker
3321,552312,Insurance Consultant
3321,611211,Insurance Agent
3322,611311,Sales Representative (Building and Plumbing Supplies)
3322,611312,Sales Representative (Business Services)
3322,611313,Sales Representative (Motor Vehicle Parts and Accessories)
3322,611314,Sales Representative (Personal and Household Goods)
3322,611399,Sales Representatives nec
3323,639211,Retail Buyer
3323,639212,Wool Buyer
3323,639911,Other Sales Support Worker
3324,149999,"Hospitality, Retail and Service Managers nec"
3324,222111,Commodities Trader
3324,222212,Futures Trader
3331,591212,Import-Export Clerk
3332,149311,Conference and Event Organiser
3333,223112,Recruitment Consultant
3334,612111,Business Broker
3334,612112,Property Manager
3334,612113,Real Estate Agency Principal / Real Estate Agency Licensee
3334,612114,Real Estate Agent
3334,612115,Real Estate Representative
3339,222199,Financial Brokers nec
3339,223112,Recruitment Consultant
3339,224912,Liaison Officer
3339,224999,Information and Organisation Professionals nec
3339,442216,Security Consultant
3339,511111,Contract Administrator
3339,511112,Program or Project Administrator
3339,599916,Facilities Administrator
3339,611111,Auctioneer
3339,611112,Stock and Station Agent
3339,611312,Sales Representative (Business Services)
3341,512111,Office Manager
3341,512299,Practice Managers nec
3341,541111,Call or Contact Centre Team Leader
3342,512299,Practice Managers nec
3342,521212,Legal Secretary
3343,521111,Personal Assistant
3343,521211,Secretary (General)
3343,532112,Machine Shorthand Reporter
3344,512211,Health Practice Manager
3344,542114,Medical Receptionist
3351,311313,Biosecurity Officer
3351,599511,Customs Officer
3351,599512,Immigration Officer
3352,599516,Taxation Inspector
3353,599515,Social Security Assessor
3354,599513,Motor Vehicle Licence Examiner
3354,599599,Inspectors and Regulatory Officers nec
3354,599999,Clerical and Administrative Workers nec
3355,441311,Detective
3359,224914,Patents Examiner
3359,311311,Fisheries Officer
3359,311313,Biosecurity Officer
3359,311314,Primary Products Quality Assurance Officer
3359,311399,Primary Products Assurance and Inspection Officers nec
3359,312115,Plumbing Inspector
3359,561913,Parking Inspector
3359,599517,Train Examiner
3359,599599,Inspectors and Regulatory Officers nec
3411,442214,Private Investigator
3411,599111,Conveyancer
3411,599112,Legal Executive
3411,599211,Clerk of Court
3411,599212,Court Bailiff or Sheriff (Aus) / Court Collections Officer (NZ)
3411,599213,Court Orderly (Aus) / Court Registry Officer (NZ)
3411,599214,Law Clerk
3411,599215,Trust Officer
3412,224912,Liaison Officer
3412,224999,Information and Organisation Professionals nec
3412,411711,Community Worker
3412,411712,Disabilities Services Officer
3412,411713,Family Support Worker
3412,411715,Residential Care Officer
3412,411716,Youth Worker
3412,423413,Refuge Worker
3413,272211,Minister of Religion
3413,451816,Religious Assistant
