soc_code,soc_title,aioe,isco_code,isco_title,isco_count,aioe_weighted
25-1072,"Nursing Instructors and Teachers, Postsecondary",0.74384,2310,University and higher education teachers,1.0,0.74384
25-1081,"Education Teachers, Postsecondary",1.623696,2310,University and higher education teachers,1.0,1.623696
25-1082,"Library Science Teachers, Postsecondary",1.626376,2310,University and higher education teachers,1.0,1.626376
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1.754122,2310,University and higher education teachers,1.0,1.754122
25-1112,"Law Teachers, Postsecondary",1.801888,2310,University and higher education teachers,1.0,1.801888
25-1113,"Social Work Teachers, Postsecondary",1.738791,2310,University and higher education teachers,1.0,1.738791
25-1121,"Art, Drama, and Music Teachers, Postsecondary",1.007435,2310,University and higher education teachers,1.0,1.007435
25-1122,"Communications Teachers, Postsecondary",1.70167,2310,University and higher education teachers,1.0,1.70167
25-1123,"English Language and Literature Teachers, Postsecondary",1.85686,2310,University and higher education teachers,1.0,1.85686
25-1124,"Foreign Language and Literature Teachers, Postsecondary",1.813892,2310,University and higher education teachers,1.0,1.813892
25-1125,"History Teachers, Postsecondary",1.813362,2310,University and higher education teachers,1.0,1.813362
25-1126,"Philosophy and Religion Teachers, Postsecondary",1.799875,2310,University and higher education teachers,1.0,1.799875
25-1191,Graduate Teaching Assistants,1.376487,2310,University and higher education teachers,1.0,1.376487
25-1192,"Home Economics Teachers, Postsecondary",1.467661,2310,University and higher education teachers,1.0,1.467661
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",1.429312,2310,University and higher education teachers,1.0,1.429312
25-1194,"Vocational Education Teachers, Postsecondary",0.3901885,2320,Vocational education teachers,1.0,0.3901885
25-2011,"Preschool Teachers, Except Special Education",0.3222551,2342,Early childhood educators,1.0,0.3222551
25-2012,"Kindergarten Teachers, Except Special Education",0.6531022,2342,Early childhood educators,1.0,0.6531022
