soc_code,soc_title,aioe,isco_code,isco_title,isco_count,aioe_weighted
25-2023,"Career/Technical Education Teachers, Middle School",0.6469598,2320,Vocational education teachers,1.0,0.6469598
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1.248528,2330,Secondary education teachers,1.0,1.248528
25-2032,"Career/Technical Education Teachers, Secondary School",0.4222647,2320,Vocational education teachers,1.0,0.4222647
25-2051,"Special Education Teachers, Preschool",0.6546578,2352,Special needs teachers,1.0,0.6546578
25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.9371846,2352,Special needs teachers,1.0,0.9371846
25-2053,"Special Education Teachers, Middle School",1.334401,2352,Special needs teachers,1.0,1.334401
25-2054,"Special Education Teachers, Secondary School",0.9999323,2352,Special needs teachers,1.0,0.9999323
25-2059,"Special Education Teachers, All Other",-0.2361226,2352,Special needs teachers,1.0,-0.2361226
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1.440082,2353,Other language teachers,1.0,1.440082
25-3021,Self-Enrichment Education Teachers,0.824783,2353,Other language teachers,6.0,0.13746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,2354,Other music teachers,6.0,0.13746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,2355,Other arts teachers,6.0,0.13746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3422,"Sports coaches, instructors and officials",6.0,0.13746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,3423,Fitness and recreation instructors and program leaders,6.0,0.13746383333333334
25-3021,Self-Enrichment Education Teachers,0.824783,5165,Driving instructors,6.0,0.13746383333333334
25-3099,"Teachers and Instructors, All Other",1.486138,2359,Teaching professionals not elsewhere classified,3.0,0.49537933333333334
25-3099,"Teachers and Instructors, All Other",1.486138,2353,Other language teachers,3.0,0.49537933333333334
25-3099,"Teachers and Instructors, All Other",1.486138,2355,Other arts teachers,3.0,0.49537933333333334
25-4011,Archivists,0.6928958,2621,Archivists and curators,1.0,0.6928958
25-4012,Curators,0.6558576,2621,Archivists and curators,1.0,0.6558576
25-4013,Museum Technicians and Conservators,-0.1107287,3433,"Gallery, museum and library technicians",1.0,-0.1107287
25-4021,Librarians,0.9777895,2622,Librarians and related information professionals,1.0,0.9777895
25-4031,Library Technicians,0.1795232,3433,"Gallery, museum and library technicians",2.0,0.0897616
