person_id,year,occ_code,occ_major_group,white_collar,blue_collar,ai_exposure,annual_wage,log_wage,sex,age,state,edu,yr_2021,ai_x_yr2021,yr_2022,ai_x_yr2022,yr_2023,ai_x_yr2023,yr_2024,ai_x_yr2024
100608,2020,31,3,1,0,0.008977897660210035,2000.0,7.600902459542082,1.0,39.0,6.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100609,2020,13,1,1,0,0.2649464281801939,2992.0,8.003697339094368,1.0,37.0,2.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100621,2020,59,5,0,1,0.2407843772218851,935.0,6.840546529288687,1.0,63.0,3.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100622,2020,24,2,1,0,0.30562130137616766,1500.0,7.313220387090301,2.0,61.0,3.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100624,2020,24,2,1,0,0.30562130137616766,2450.0,7.803843303538772,1.0,32.0,3.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100631,2020,39,3,1,0,-0.24502387522821356,3000.0,8.006367567650246,1.0,41.0,2.0,4.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100632,2020,25,2,1,0,0.06932169621067275,315.0,5.752572638825633,2.0,40.0,1.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100635,2020,72,7,0,1,-0.17341740850805848,1400.0,7.24422751560335,1.0,35.0,3.0,8.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100636,2020,62,6,0,1,0.01205130738931425,705.0,6.558197802812269,2.0,49.0,1.0,9.0,0,0.0,0,0.0,0,0.0,0,0.0
100637,2020,89,8,0,1,-0.2189084324372928,1960.0,7.580699752224563,1.0,55.0,1.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100638,2020,55,5,0,1,0.48112254194444437,1210.0,7.098375638590786,2.0,31.0,1.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100640,2020,13,1,1,0,0.2649464281801939,1918.0,7.559038255443384,1.0,62.0,2.0,9.0,0,0.0,0,0.0,0,0.0,0,0.0
100641,2020,74,7,0,1,-0.0749210140512265,752.0,6.62273632394984,2.0,57.0,2.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100643,2020,55,5,0,1,0.48112254194444437,1100.0,7.003065458786462,1.0,34.0,2.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100647,2020,13,1,1,0,0.2649464281801939,1839.0,7.516977224604321,2.0,30.0,3.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100661,2020,26,2,1,0,0.23145546379310347,1881.0,7.53955882930103,1.0,58.0,4.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100662,2020,59,5,0,1,0.2407843772218851,630.0,6.4457198193855785,2.0,52.0,4.0,9.0,0,0.0,0,0.0,0,0.0,0,0.0
100665,2020,22,2,1,0,0.23363319630473772,2781.0,7.930565854233965,1.0,36.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100666,2020,36,3,1,0,-0.04568094818322348,1030.0,6.937314081223682,1.0,34.0,2.0,4.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100669,2020,25,2,1,0,0.06932169621067275,1283.0,7.1569563646156364,1.0,26.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100671,2020,89,8,0,1,-0.2189084324372928,2690.0,7.897296472595885,1.0,22.0,2.0,5.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100672,2020,43,4,1,0,-0.1286161210627572,390.0,5.966146739123692,2.0,19.0,2.0,8.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100675,2020,42,4,1,0,0.01051028608479534,640.0,6.461468176353717,2.0,52.0,1.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100677,2020,51,5,0,1,0.2939577758152958,1038.0,6.945051063725834,2.0,27.0,1.0,9.0,0,0.0,0,0.0,0,0.0,0,0.0
100678,2020,73,7,0,1,-0.18400218007352942,900.0,6.802394763324311,1.0,57.0,7.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100679,2020,42,4,1,0,0.01051028608479534,1400.0,7.24422751560335,2.0,52.0,1.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100681,2020,22,2,1,0,0.23363319630473772,4000.0,8.294049640102028,1.0,59.0,2.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100682,2020,25,2,1,0,0.06932169621067275,575.0,6.354370040797351,2.0,52.0,2.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100683,2020,,,0,0,,700.0,6.551080335043404,2.0,22.0,1.0,3.0,0,,0,,0,,0,
100684,2020,,,0,0,,150.0,5.0106352940962555,2.0,20.0,2.0,8.0,0,,0,,0,,0,
100692,2020,42,4,1,0,0.01051028608479534,125.0,4.8283137373023015,2.0,62.0,3.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100696,2020,26,2,1,0,0.23145546379310347,4350.0,8.37793112408273,1.0,59.0,8.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
